price,mantage,metrage,sal,otag,tabage,vshed_status,lat,long,tehdad_vahed,asansor,parking,anbari
1350000000,chitgar-shomali,90,1404.0,2.0,۸ از ۱۵,بازسازی نشده,35.724967357777,51.186592877096,8.0,آسانسور دارد,پارگینگ دارد,انباری دارد
89999998976,saadat-abad,155,1404.0,3.0,۶ از ۶,بازسازی نشده,35.784825785432,51.368796872036,4.0,آسانسور دارد,پارگینگ دارد,انباری دارد
77999996928,velenjak,160,1403.0,2.0,۳,بازسازی نشده,35.8070083,51.404564,,آسانسور دارد,پارگینگ دارد,انباری دارد
2700000000,dolatkhah,57,1398.0,2.0,۴,بازسازی نشده,35.616705887245,51.342721750424,,آسانسور دارد,پارگینگ دارد,انباری دارد
89999998976,farmaniyeh,215,1397.0,3.0,۲ از ۶,بازسازی نشده,35.796357059103,51.469126655975,1.0,آسانسور دارد,پارگینگ دارد,انباری دارد
5779999744,shaharak-e-shariyati,53,1390.0,1.0,۴,بازسازی نشده,35.632387307646,51.374454027412,1.0,آسانسور دارد,پارگینگ دارد,انباری دارد
20999999488,behjat-abad,101,1375.0,2.0,۲,بازسازی شده,35.721688618459,51.413530687418,2.0,آسانسور ندارد,پارگینگ دارد,انباری دارد
529999986688,saadat-abad,550,1404.0,,۱۰,بازسازی نشده,35.784820079456,51.368678182941,,آسانسور دارد,پارگینگ دارد,انباری دارد
4750000128,sarsabil,56,1380.0,1.0,همکف از ۴,بازسازی نشده,35.687757999281,51.376490895264,1.0,آسانسور ندارد,پارگینگ ندارد,انباری دارد
27000000512,abbas-abad,110,1404.0,2.0,۲,بازسازی نشده,35.725026990113,51.434035517488,,آسانسور دارد,پارگینگ دارد,انباری دارد
4100000000,shahr-e-ziba,76,1398.0,2.0,۳,بازسازی نشده,35.748476601855,51.291304732697,,آسانسور دارد,پارگینگ دارد,انباری دارد
4499999744,imam-sajjad,80,1377.0,2.0,۲,بازسازی نشده,35.652688413228,51.354414661917,1.0,آسانسور ندارد,پارگینگ ندارد,انباری دارد
4550000128,shokoofeh,50,1381.0,1.0,۱,بازسازی شده,35.679371985594,51.448907346648,,آسانسور ندارد,پارگینگ ندارد,انباری دارد
73000001536,south-shahran,250,1401.0,3.0,۵ از ۶,بازسازی نشده,35.761210689931,51.289934933577,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
299999985664,saadat-abad,400,1404.0,4.0,۴ از ۱۱,بازسازی نشده,35.785700682069,51.372510647509,1.0,آسانسور دارد,پارگینگ دارد,انباری دارد
38000001024,central-janat-abad,170,1404.0,3.0,۴,بازسازی نشده,35.759773699286,51.304241264274,,آسانسور دارد,پارگینگ دارد,انباری دارد
5649999872,jeyhoun,52,1385.0,1.0,۱ از ۴,بازسازی شده,35.689524975509,51.364302807602,1.0,آسانسور ندارد,پارگینگ دارد,انباری دارد
11500000256,jey,100,1404.0,2.0,۴ از ۴,بازسازی نشده,35.67758256407,51.356024285135,1.0,آسانسور دارد,پارگینگ دارد,انباری دارد
17200001024,dr-hoshyar,110,1400.0,2.0,۵,بازسازی نشده,35.69715139284,51.346948658743,,آسانسور دارد,پارگینگ دارد,انباری دارد
235000004608,saadat-abad,260,1404.0,4.0,۸,بازسازی نشده,35.784649055444,51.368155437722,1.0,آسانسور دارد,پارگینگ دارد,انباری دارد
12000000000,bahar,70,1381.0,2.0,۵,بازسازی نشده,35.709447315462,51.431691176516,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
8899999744,jey,88,1402.0,2.0,۳ از ۵,بازسازی نشده,35.678592522839,51.355663684793,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
